	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
60	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.001	0.001	0.7233010552331843	27.32176848881588	0.0272312480956316	7.597487440583982e-10
61	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.0001	0.01	0.6003544200026709	22.856496111518293	0.08316670358181	2.0034962504934033e-09
62	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.001	0.0001	0.5075303906453672	20.63040476110097	0.1129004061222076	3.692133445463924e-09
63	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.0001	0.001	0.3381723122915013	8.844053540419646	1.2755327224731443	4.365233411951487e-08
64	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.0001	0.001	0.6193857625163592	22.83613480318564	0.0636402741074562	1.51850486103245e-09
65	0	[121, 145]	no	0.125	1	[13, 13]	0.05	0.0001	0.0001	0.5107692771066792	12.688923131191988	0.6158251166343689	1.986943727593653e-08
66	0	[121, 145]	square	0.125	1	[13, 13]	0.05	0.0001	0.0001	0.720470745055175	25.457970649683865	0.0332023277878761	9.423040557141682e-10
67	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.01	0.01	0.3032360265523008	14.343357753040843	0.8621608018875122	2.4099009729629637e-08
68	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.01	0.01	0.4297736897973333	18.16377990195292	0.2677631378173828	4.972322939167531e-09
69	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.01	0.001	0.7667316846590045	24.31816377730632	0.0540354289114475	1.9803502295828847e-09
70	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.01	0.001	0.829075328907746	29.529151388507323	0.0228756554424762	7.715616329738652e-10
71	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.001	0.001	0.904172810833514	34.12387226115988	0.0095437550917267	2.7064572390467e-10
72	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.001	0.0001	0.7317706970085737	24.070314742934883	0.0760750398039817	2.8870752074823557e-09
73	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.0001	0.01	0.1940437308294182	13.226801603983295	1.239819884300232	1.915114243478136e-08
74	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.01	0.0001	0.6141120230205696	19.076351867730715	0.1663201302289962	6.312741217265336e-09
75	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.001	0.01	0.00877689373101	-15.410254928406172	63.16019058227539	2.1076102474518908e-06
76	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.001	0.01	0.4486997326172679	18.24887215030205	0.2481500953435897	4.5985083988632925e-09
77	0	[121, 145]	no	0.125	5	[11, 11]	0.0175	0.001	0.001	0.8686117230349677	30.25043433624749	0.0169596634805202	4.949565768740616e-10
78	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.001	0.0001	0.712295053045659	25.77724848131032	0.0530769675970077	1.909954787545103e-09
79	0	[121, 145]	square	0.125	5	[11, 11]	0.0175	0.0001	0.01	0.3972257758915699	16.812229259775428	0.3285988271236419	7.357759057671232e-09
