	Unnamed: 0	mask_dim	acs_type	acc	bloc	kernel	std_noise	lr_mask	lr_other	test_ssim	test_psnr	test_loss	test_loss_denorm
376	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.001	0.0001	1.0	inf	0.0	0.0
378	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.01	0.0001	1.0	inf	0.0	0.0
380	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.0001	0.01	1.0	inf	0.0	0.0
381	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.001	0.01	1.0	inf	0.0	0.0
383	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.001	0.001	1.0	inf	0.0	0.0
389	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.0001	0.001	1.0	inf	0.0	0.0
390	0	[4, 4]	square	0.125	10	[11, 11]	0.0175	0.0001	0.0001	1.0	inf	0.0	0.0
391	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.01	0.0001	1.0	inf	0.0	0.0
392	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.01	0.01	1.0	inf	0.0	0.0
393	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.001	0.01	1.0	inf	0.0	0.0
394	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.01	0.001	1.0	inf	0.0	0.0
396	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.001	0.0001	1.0	inf	0.0	0.0
397	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.0001	0.01	1.0	inf	0.0	0.0
403	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.001	0.001	1.0	inf	0.0	0.0
404	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.0001	0.0001	1.0	inf	0.0	0.0
405	0	[4, 4]	square	0.125	10	[11, 11]	0.05	0.0001	0.001	1.0	inf	0.0	0.0
407	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.01	0.01	1.0	inf	0.0	0.0
410	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.001	0.001	1.0	inf	0.0	0.0
413	0	[4, 4]	square	0.125	10	[13, 13]	0.0175	0.01	0.001	1.0	inf	0.0	0.0
